Player,Ratings,Salaries,Pos,Age,Tm,G,GS,MP,FG,FGA,FGp,3P,3PA,threePp,2P,2PA,twoPp,eFG%,FT,FTA,FTp,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Darius Bazley,70,"$2,284,800",PF,19,OKC,53,8,17.2,1.7,4.3,.383,0.6,1.9,.300,1.1,2.5,.446,.448,0.6,0.9,.681,0.4,3.3,3.7,0.5,0.4,0.7,0.8,0.8,4.5
Tony Bradley,70,"$1,962,360",C,22,UTA,50,2,10.7,2.1,3.1,.665,0.0,0.0,1.000,2.0,3.1,.662,.668,0.5,0.8,.650,1.8,2.5,4.3,0.3,0.2,0.5,0.5,2.0,4.7
Hamidou Diallo,70,"$1,416,852",SF,21,OKC,38,3,18.4,2.6,5.8,.452,0.2,0.9,.200,2.4,4.8,.500,.468,0.7,1.2,.622,0.8,2.4,3.2,0.6,0.7,0.2,1.0,2.2,6.1
Melvin Frazier,70,"$1,416,852",SG,23,ORL,15,0,3.4,0.4,1.1,.353,0.3,0.5,.571,0.1,0.7,.200,.471,0.1,0.3,.500,0.1,0.2,0.3,0.1,0.3,0.1,0.2,0.5,1.2
Solomon Hill,70,"$13,290,395",SF,28,MIA,54,4,18.4,1.9,4.6,.403,1.1,2.9,.378,0.8,1.7,.446,.522,0.6,0.8,.714,0.5,2.4,2.9,1.8,0.7,0.2,0.9,1.4,5.4
Alize Johnson,70,"$1,416,852",SF,23,IND,13,0,4.2,0.5,1.2,.467,0.0,0.0,,0.5,1.2,.467,.467,0.3,0.5,.667,0.5,0.8,1.4,0.2,0.0,0.0,0.2,0.5,1.4
Sviatoslav Mykhailiuk,70,"$1,416,852",SF,22,DET,56,27,22.6,3.0,7.2,.410,2.1,5.1,.404,0.9,2.1,.425,.552,1.0,1.3,.814,0.3,1.6,1.9,1.9,0.7,0.1,1.1,1.6,9.0
Johnathan Motley,70,"$79,568",PF,24,LAC,13,0,3.2,0.8,1.2,.733,0.1,0.1,1.000,0.8,1.1,.714,.767,0.4,0.5,.714,0.2,0.5,0.8,0.6,0.2,0.0,0.4,0.5,2.2
Abdel Nader,70,"$1,618,520",SF,26,OKC,48,5,15.8,2.1,4.6,.455,0.8,2.2,.371,1.3,2.4,.530,.543,1.0,1.3,.774,0.3,1.6,1.9,0.7,0.4,0.4,0.8,1.4,6.0
Caleb Swanigan,70,"$2,033,160",PF,22,POR,27,1,10.7,1.0,1.7,.596,0.0,0.1,.000,1.0,1.7,.622,.596,0.3,0.6,.529,1.0,2.7,3.7,1.1,0.1,0.3,1.4,2.3,2.4
Jarred Vanderbilt,70,"$1,416,852",SF-PF,20,MIN,11,0,4.2,0.5,0.7,.625,0.0,0.1,.000,0.5,0.6,.714,.625,0.2,0.2,1.000,0.3,0.5,0.8,0.2,0.3,0.1,0.6,0.5,1.1
